team_slug,team_name,player_id,name,first_name,last_name,uniform_number,positions,position_names,status,status_id,active,age,height,weight,birth_date,birth_city,birth_state,birth_country,college,first_year,last_year,experience_years,injury_type,injury_notes,player_url,headshot_url,source_url
atlanta,Atlanta Hawks,nba.p.6205,Nickeil Alexander-Walker,Nickeil,Alexander-Walker,7,SG/PG/SF,Shooting Guard/Point Guard/Small Forward,ACT,ACTIVE,True,27,"6'5""",205,1998-09-02,Toronto,Ontario,Canada,Virginia Tech,2019,2025,6,,,https://sports.yahoo.com/nba/players/6205/,https://s.yimg.com/iu/api/res/1.2/C_rTyfbvYKGoYjyTS_KLqA--~B/YXBwaWQ9c2hhcmVkO2ZpPWZpbGw7cT03NTtoPTk2O3c9OTY-/https://s.yimg.com/xe/i/us/sp/v/nba_cutout/players_l/11172025/6205.png,https://sports.yahoo.com/nba/teams/atlanta/roster/
atlanta,Atlanta Hawks,nba.p.10553,Lamont Butler,Lamont,Butler,15,PG,Point Guard,FA,FREE_AGENT,False,23,"6'2""",208,2002-06-09,Moreno Valley,,United States,Kentucky,2025,2025,0,,,https://sports.yahoo.com/nba/players/10553/,,https://sports.yahoo.com/nba/teams/atlanta/roster/
atlanta,Atlanta Hawks,nba.p.6698,Dyson Daniels,Dyson,Daniels,5,SG/PG/SF,Shooting Guard/Point Guard/Small Forward,ACT,ACTIVE,True,23,"6'7""",199,2003-03-17,Bendigo,Victoria,Australia,,2022,2025,3,,,https://sports.yahoo.com/nba/players/6698/,https://s.yimg.com/iu/api/res/1.2/Uf0Qevnu.I70rudOWGtePg--~B/YXBwaWQ9c2hhcmVkO2ZpPWZpbGw7cT03NTtoPTk2O3c9OTY-/https://s.yimg.com/xe/i/us/sp/v/nba_cutout/players_l/11172025/6698.png,https://sports.yahoo.com/nba/teams/atlanta/roster/
atlanta,Atlanta Hawks,nba.p.10328,N'Faly Dante,N'Faly,Dante,12,C,Center,FA,FREE_AGENT,False,24,"6'11""",230,2001-10-19,Bamako,,Mali,Oregon,2024,2025,1,,,https://sports.yahoo.com/nba/players/10328/,https://s.yimg.com/iu/api/res/1.2/j.RPgzVXBnedkGWQVT5V8g--~B/YXBwaWQ9c2hhcmVkO2ZpPWZpbGw7cT03NTtoPTk2O3c9OTY-/https://s.yimg.com/xe/i/us/sp/v/nba_cutout/players_l/11172025/10328.png,https://sports.yahoo.com/nba/teams/atlanta/roster/
atlanta,Atlanta Hawks,nba.p.10416,RayJ Dennis,RayJ,Dennis,00,PG,Point Guard,TWO-WAY,TWO_WAY_CONTRACT,True,24,"6'1""",180,2001-03-30,Plainfield,,United States,Baylor,2024,2025,1,,,https://sports.yahoo.com/nba/players/10416/,https://s.yimg.com/iu/api/res/1.2/4Cikm2fctv_84aim4YSvog--~B/YXBwaWQ9c2hhcmVkO2ZpPWZpbGw7cT03NTtoPTk2O3c9OTY-/https://s.yimg.com/xe/i/us/sp/v/nba_cutout/players_l/01152026/10416.1.png,https://sports.yahoo.com/nba/teams/atlanta/roster/
atlanta,Atlanta Hawks,nba.p.10530,Keshon Gilbert,Keshon,Gilbert,51,SG/PG,Shooting Guard/Point Guard,TWO-WAY,TWO_WAY_CONTRACT,True,22,"6'4""",200,2003-06-30,St. Louis,,United States,Iowa State,2025,2025,0,,,https://sports.yahoo.com/nba/players/10530/,https://s.yimg.com/iu/api/res/1.2/MT92VjtUu78ODlBnj4AgXQ--~B/YXBwaWQ9c2hhcmVkO2ZpPWZpbGw7cT03NTtoPTk2O3c9OTY-/https://s.yimg.com/xe/i/us/sp/v/nba_cutout/players_l/11172025/10530.png,https://sports.yahoo.com/nba/teams/atlanta/roster/
atlanta,Atlanta Hawks,nba.p.10069,Mouhamed Gueye,Mouhamed,Gueye,18,PF/C,Power Forward/Center,ACT,ACTIVE,True,23,"6'11""",210,2002-11-09,Dakar,,Senegal,Washington State,2023,2025,2,,,https://sports.yahoo.com/nba/players/10069/,https://s.yimg.com/iu/api/res/1.2/aTWuOFQp8AN9LVL6DS7zaA--~B/YXBwaWQ9c2hhcmVkO2ZpPWZpbGw7cT03NTtoPTk2O3c9OTY-/https://s.yimg.com/xe/i/us/sp/v/nba_cutout/players_l/11172025/10069.png,https://sports.yahoo.com/nba/teams/atlanta/roster/
atlanta,Atlanta Hawks,nba.p.5637,Buddy Hield,Buddy,Hield,8,SG/SF,Shooting Guard/Small Forward,ACT,ACTIVE,True,33,"6'4""",220,1992-12-17,Freeport,,Bahamas,Oklahoma,2016,2025,9,,,https://sports.yahoo.com/nba/players/5637/,https://s.yimg.com/iu/api/res/1.2/Y3aWzVCajE3gnD30acGLhQ--~B/YXBwaWQ9c2hhcmVkO2ZpPWZpbGw7cT03NTtoPTk2O3c9OTY-/https://s.yimg.com/xe/i/us/sp/v/nba_cutout/players_l/02132026/5637.1.png,https://sports.yahoo.com/nba/teams/atlanta/roster/
atlanta,Atlanta Hawks,nba.p.6722,Caleb Houstan,Caleb,Houstan,33,SF/SG/PF,Small Forward/Shooting Guard/Power Forward,ACT,ACTIVE,True,23,"6'8""",205,2003-01-09,Mississauga,Ontario,Canada,Michigan,2022,2025,3,,,https://sports.yahoo.com/nba/players/6722/,https://s.yimg.com/iu/api/res/1.2/GRIPv.hY8gkq8C.XBL16ng--~B/YXBwaWQ9c2hhcmVkO2ZpPWZpbGw7cT03NTtoPTk2O3c9OTY-/https://s.yimg.com/xe/i/us/sp/v/nba_cutout/players_l/11172025/6722.png,https://sports.yahoo.com/nba/teams/atlanta/roster/
atlanta,Atlanta Hawks,nba.p.6562,Jalen Johnson,Jalen,Johnson,1,SF/PF,Small Forward/Power Forward,ACT,ACTIVE,True,24,"6'8""",219,2001-12-18,Wausau,Wisconsin,United States,Duke,2021,2025,4,,,https://sports.yahoo.com/nba/players/6562/,https://s.yimg.com/iu/api/res/1.2/3yuOo8loSiqqnJv1wzoaPQ--~B/YXBwaWQ9c2hhcmVkO2ZpPWZpbGw7cT03NTtoPTk2O3c9OTY-/https://s.yimg.com/xe/i/us/sp/v/nba_cutout/players_l/11172025/6562.png,https://sports.yahoo.com/nba/teams/atlanta/roster/
